;2020;2021;2022;2023
Restaurante Madero;8,4;8,3;8,4;8,7
Outback;7,8;7,4;7,6;7,8
Burger King;5,4;7,4;7,7;7,8
KFC;7,8;7,3;7,4;7,7
Dominos Pizza;6,4;7,2;7,1;7,2
Popeyes - Louisiana Kitchen;6,7;6,5;7;7
Pizza Hut;7,4;6,6;6,6;6,5
Frango Assado;5,9;6,4;7;6,9
McDonalds;6;6,6;5,8;6,1
