;2020;2021;2022;2023
Track&Field;7,5;7,8;8,1;9
Netshoes;6;8,6;8,4;8,3
Centauro- Loja ;6,6;7,7;7;7,1
Decathlon - Loja Fisica;0;5,6;5;5,4
Nike - Loja Online;0;8,6;6,8;5,4
