;2020;2021;2022;2023
BTG Investimentos;8,9;8,6;8,7;8,8
Nubank;7,3;7,8;8,2;8,3
Inter;7,9;7,8;8;8
XP Investimentos;7,8;7,9;7,9;8,1
Banco Bmg;7;7;7,7;7,9
Banco PAN;6,5;7,2;7,5;7,6
Banco do Brasil;6,5;7,1;7,5;7,6
Banco Itau;7,2;7,6;7,3;7,2
BTG Banking;6,7;8,5;7,5;7
Banco Santander;6,9;6,8;6,8;6,6
C6 Bank;7,6;6,6;6,6;6,7
Banco Bradesco;7,6;7,3;6,2;6,2
