;2020;2021;2022;2023
Panvel;7,7;8,6;8,5;8,6
Droga Raia;7;7,3;8,1;8,6
Pague Menos;7,7;8,2;8,3;8,3
Drogaria Araujo;7,6;7,5;7,4;7,5
Drogasmil;6,5;7,1;6,6;6,9
Drogaria Rosario;5,2;6,4;6,1;5,7
Drogarias Tamoio;0;7,1;6,1;6,6
