;2020;2021;2022;2023
Hering - Lojas Fisicas;7,3;9;9,4;9,3
Youcom;8,1;8,9;8,8;8,8
Lojas Marisa - Lojas Fisicas;7,5;8,5;8,6;8,8
Lojas Riachuelo e Midway Financeira;8,4;8,6;8,6;8,7
C&A;6,7;7,8;8,1;8,1
Lojas Renner;7,4;7,7;7,9;7,9
Arezzo - Loja Fisicas;7,3;7,7;7,4;7,7
