NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
Drogarias Pacheco;Av. Brg. Lima e Silva, 916 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-182, Brasil;-43.29695780000001;-22.7942676;OPERATIONAL;3.1;21
DROGARIAS PACHECO;Av. Expedicionário José Amaro, 467 - Vila São Luis, Duque de Caxias - RJ, 25065-090, Brasil;-43.2954193;-22.7740148;OPERATIONAL;3.7;75
DROGARIAS PACHECO;Av. Brg. Lima e Silva, 2035 - loja 01 - Centro, Duque de Caxias - RJ, 25085-131, Brasil;-43.306742;-22.7905271;OPERATIONAL;3.7;30
DROGARIAS PACHECO;R. José de Alvarenga, 201 - Centro, Duque de Caxias - RJ, 25020-140, Brasil;-43.3116287;-22.7893927;OPERATIONAL;1.8;4
DROGARIAS PACHECO;Av. Nilo Peçanha, 116 - Centro, Duque de Caxias - RJ, 25025-000, Brasil;-43.3122157;-22.7866252;OPERATIONAL;3.9;17
DROGARIAS PACHECO;Av. Pres. Kennedy, 1671 - Centro, Duque de Caxias - RJ, 25010-000, Brasil;-43.3110945;-22.78746710000001;OPERATIONAL;4.2;12
DROGARIAS PACHECO;R. José de Alvarenga, 438 - Centro, Duque de Caxias - RJ, 25020-140, Brasil;-43.3117608;-22.7873313;OPERATIONAL;3.6;18
DROGARIAS PACHECO;Av. Nilo Peçanha, 64 - Centro, Duque de Caxias - RJ, 25010-000, Brasil;-43.311624;-22.7868271;OPERATIONAL;4.7;11
Drogarias Pacheco;Avenida Automóvel Clube 48 loja 101/2/3/4 - Santa Cruz da Serra, Duque de Caxias - RJ, 25260-000, Brasil;-43.28266499999999;-22.6430986;OPERATIONAL;2.7;100
Drogarias Pacheco;Praça Viêira Neto, S/N - Saracuruna, Duque de Caxias - RJ, 25212-430, Brasil;-43.2481302;-22.6775008;OPERATIONAL;3.7;42
Drogarias Pacheco;AV AUTOMOVEL CLUBE, 48 LJ 101, 102, 103, 104 E 105 - Santa Cruz da Serra, Duque de Caxias - RJ, 25260-000, Brasil;-43.28333689999999;-22.6409922;OPERATIONAL;4.5;2
Drogarias Pacheco;PC DA MANTIQUEIRA - Estr. de Xerém, 18 - LJ A - Xerém, Duque de Caxias - RJ, 25250-000, Brasil;-43.305446;-22.5868902;OPERATIONAL;4.4;8
DROGARIAS PACHECO;R. do Cateté, 1535 - Penha Circular, Duque de Caxias - RJ, 21210-674, Brasil;-43.2990819;-22.76170159999999;OPERATIONAL;-;-
DROGARIAS PACHECO;Praça Adolfo David - Parada Angélica, Duque de Caxias - RJ, 25272-580, Brasil;-43.2039273;-22.6191889;OPERATIONAL;1;1
DROGARIAS PACHECO;AV - R. Duque de Caxias, 617 - Centro, Três Rios - RJ, 25802-120, Brasil;-43.2075686;-22.1147275;OPERATIONAL;4.5;32
Drogarias Pacheco;Praça Mantiqueira, 18 - Xerém, Cabo Frio - RJ, 25250-000, Brasil;-43.3071046;-22.5917334;OPERATIONAL;3.7;19
Drogarias Pacheco;Av. Automóvel Clube, 2246 - Vilar dos Teles, São João de Meriti - RJ, 25565-171, Brasil;-43.3608389;-22.7763305;OPERATIONAL;3.7;47
Drogarias Pacheco;Estrada Manoel De Sá, 157 – L E 159 - Lote 15 - Parque Martinho, Belford Roxo - RJ, 26182-000, Brasil;-43.3268409;-22.7135145;OPERATIONAL;3.5;35
DROGARIAS PACHECO;Av. Gov. Amaral Peixoto, 64 - Centro, Nova Iguaçu - RJ, 26210-060, Brasil;-43.4482934;-22.7599096;OPERATIONAL;3.7;36
DROGARIAS PACHECO;Av. Dr. Mario Guimarães, 606 612 - Centro, Nova Iguaçu - RJ, 26255-230, Brasil;-43.457572;-22.7586898;OPERATIONAL;3.8;78
DROGARIAS PACHECO;Av. Gov. Amaral Peixoto, 514 - loja A - Centro, Nova Iguaçu - RJ, 26210-060, Brasil;-43.452284;-22.758145;OPERATIONAL;3.3;23
DROGARIAS PACHECO;Av. Gov. Amaral Peixoto, 386 - Centro, Nova Iguaçu - RJ, 26210-060, Brasil;-43.451178;-22.758606;OPERATIONAL;3.8;13
DROGARIAS PACHECO;Rua Getúlio Vargas, 08 - Centro, Nova Iguaçu - RJ, 26255-060, Brasil;-43.4504439;-22.7608162;OPERATIONAL;3.9;19
Drogarias Pacheco;R DR THIBAU, 97 LJS 1 A 6 - Centro, Nova Iguaçu - RJ, 26255-160, Brasil;-43.4537679;-22.7603511;OPERATIONAL;4.4;13
