,marca,preco
78,"Ruger - SR22 10rd 3.5"" 22 LR","469,95"
79,"Taurus - PT22 DAO 8rd 2.33"" 22 LR","234,95"
80,"Charter Arms - Off Duty 5rd 2"" 38 Spl","339,95"
81,"Charter Arms - Chic Lady 5rd 2"" 38 Spl","389,95"
82,"Charter Arms - Undercover Lite Blue Diamond 5rd 2"" 38 Spl","349,95"
83,"Walther - PPQ 22 SD 12rd 4"" 22 LR","389,95"
84,"Heritage - Rough Rider 6rd 4.75"" 22 LR","139,95"
85,"Kimber - 1911 Ultra Aegis II 9rd 3"" 9mm","1099,95"
86,"Kimber - 1911 Stainless Raptor II 8rd 5"" 45 ACP","1419,95"
87,"Glock - G42 Gen3 Fixed Sights 6rd 3.25"" 380 ACP","459,95"
88,"Charter Arms - Chic Lady Lavender 5rd  2"" 38 Spl","389,95"
89,"CZ - P-01 14rd 3.75"" 9mm","731,95"
90,"Beretta - 21A Bobcat Inox 7rd 2.4"" 22 LR",429
91,"Glock - G30 Gen4 Fixed Sights 10rd 3.77"" 45 ACP","579,95"
92,"Kimber - 1911 Stainless Target II 9rd 5"" 9mm","994,95"
93,"Charter Arms - Undercover DAO 5rd 2"" 38 Spl","299,95"
94,"Ruger - SR22 Purple 10rd 3.5"" 22 LR","469,95"
95,"Ruger - LCP TALO Exclusive Purple 6rd 2.75"" 380 ACP","299,95"
96,"Ruger - SP101 5rd 2.25"" 357 Mag","739,95"
97,"Ruger - SR1911 Commander-Style 7rd 4.25"" 45 ACP","929,95"
98,"Ruger - GP100 6rd 4.2"" 357 Mag","829,95"
99,"Ruger - GP100 6rd 3"" 357 Mag","799,95"
100,"Charter Arms - Pathfinder Pink 6rd 2"" 22 Mag","354,95"
101,"Charter Arms - Undercover 5rd 2"" 38 Spl","314,95"
102,"Ruger - LCRx 5rd 1.87"" 38 Spl","579,95"
103,"Ruger - Super Redhawk 6rd 7.5"" 454 Casull","1299,95"
104,"Smith & Wesson - Model 637 Laser Grip 5rd 1.875"" 38 Spl+P","739,95"
105,"Smith & Wesson - Model 642 LadySmith 5rd 1.875"" 38 Spl+P","524,95"
106,"Smith & Wesson - SD VE 15rd 4"" 9mm","379,95"
107,"CZ - P-07 Black 15rd 3.75"" 9mm","551,95"
108,"CZ - 75 B 16rd 4.6"" 9mm","701,95"
109,"CZ - P-09 Duty Polycoat 19rd 4.54"" 9mm","573,95"
110,"Taurus - PT92 17rd 5"" 9mm","499,95"
111,"Sig Sauer - MK25 Full-Size 15rd 4.4"" 9mm","1099,99"
112,"Smith & Wesson - Model 642 No Internal Lock 5rd 1.875"" 38 Spl+P","509,95"
113,"Glock - G17 Gen3 Fixed Sights 17d 4.49"" 9mm","549,95"
114,"Glock - G19 15rd 4"" 9mm","539,95"
115,"Glock - G35 Gen3 Adjustable Sights 15rd 5.31"" 40 S&W","639,95"
116,Hornady - Custom 500 S&W 300gr 20rds,"78,25"
117,"Glock - G29 SF Fixed Sights 10rd 3.77"" 10mm","584,95"
118,"Heritage - Rough Rider 6rd 4.75""  22 LR / 22 Mag","169,95"
119,"Glock - G20 Gen4 Fixed Sights 15rd 4.61"" 10mm","619,95"
120,"Glock - G41 Gen4 Adjustable Sights 13rd 5.31"" 45 ACP","649,95"
121,"Kimber - 1911 Ultra Carry II Two-Tone 7rd 3"" 45 ACP","874,95"
122,"Kimber - Micro Raptor Stainless 7rd 2.75"" 380 ACP","869,95"
123,"Heritage - Rough Rider 6rd 6.5"" 22 LR","129,95"
124,"Kimber - 1911 Pro Carry II Two-Tone 7rd 4"" 45 ACP","874,95"
125,"Ruger - SR22 10rd 3.5"" 22 LR","449,95"
126,"Beretta - 3032 Tomcat Inox 7rd 2.4"" 32 ACP",499
127,"Smith & Wesson - Model 317 Kit Gun 8rd 3"" 22 LR","799,95"
128,"Smith & Wesson - Model 638 5rd 1.875"" 38 Spl+P","509,95"
129,"Ruger - LCR 8rd 1.87"" 22 LR","599,95"
130,"Ruger - LCR 5rd 1.87"" 38 Spl","599,95"
131,"Ruger - SP101 5rd 2.25"" 357 Mag","699,95"
132,"Ruger - SR1911 Commander-Style 7rd 4.25"" 45 ACP","969,95"
133,"Smith & Wesson - M&P Bodyguard 6rd 2.75"" 380 ACP","349,95"
134,"Smith & Wesson - Model 642 Laser Grip 5rd 1.875"" 38 Spl+P","749,95"
135,"Smith & Wesson - Performance Center Model 460 VXR 5rd 3.5"" 460 S&W","1699,95"
136,"Walther - PPQ 45 12rd 4.25"" 45 ACP",719
137,"Walther - PPQ 22 12rd 5"" 22 LR","439,95"
138,"Bond Arms - Patriot 2rd 3"" 45 Colt / 410","599,95"
139,"Browning - 1911-380 Compact Black/Stainless 8rd 3.63"" 380 ACP","679,95"
140,"Charter Arms - Undercover 5rd 2"" 38 Spl","389,95"
141,"Charter Arms - Pathfinder Pink 8rd 2"" 22 LR","359,95"
142,"Ruger - SR-22 Threaded Barrel 10rd 3.5"" 22 LR","489,95"
143,"Sig Sauer - P320 Nitron Compact 15rd 3.9"" 9mm","499,95"
144,"Smith & Wesson - Model 442 5rd 1.875"" 38 Spl+P","509,95"
145,"Smith & Wesson - Model 637 5rd 1.875"" 38 Spl+P","509,95"
146,"Smith & Wesson - Model 642 5rd 1.875"" 38 Spl+P","509,95"
147,"Kimber - 1911 Super Match II 8rd 5"" 45 ACP","2614,95"
148,"Ruger - SR22 10rd 4.5"" 22 LR","474,95"
149,"SCCY - CPX1 Black/Black 10rd 3"" 9mm","211,95"
150,"Sig Sauer - P229 Legion Compact 15rd 3.9"" 9mm","1299,99"
151,"Smith & Wesson - Bodyguard Engraved 6rd 2.75"" 380 ACP","414,95"
152,"Sig Sauer - P320 Nitron Full-Size 17rd 4.7"" 9mm","499,95"
153,"Walther - PPK Stainless 6rd 3.3"" 380 ACP",799
154,"Walther - PPK/S Stainless 7rd 3.3"" 380 ACP",799
