NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
HStern;Avenida João Wallig 1800 Shop 242 and 243 - Chácara das Pedras, Porto Alegre - RS, 91349-900, Brasil;-51.1625629;-30.02563529999999;OPERATIONAL;4.6;51
HStern;R. Des. Lauro Nogueira, 1500 - 2112 / 2113 - Papicu, Fortaleza - CE, 60176-065, Brasil;-38.47155389999999;-3.7409753;OPERATIONAL;4.6;76
HStern;R. Bahia - Pituba, Salvador - BA, 40301-155, Brasil;-38.45570620000001;-13.0020035;OPERATIONAL;4.5;20
HStern;Shopping Vila Romana - Av. Me. Benvenuta, 687 - Shop 243 - Santa Monica, Florianópolis - SC, 88035-000, Brasil;-48.5150696;-27.59039579999999;OPERATIONAL;4.4;111
HStern;R. Ator Paulo Gustavo, 241 - Loja 12 Loja - Icaraí, Niterói - RJ, 24230-052, Brasil;-43.1104437;-22.9068457;OPERATIONAL;4.8;32
HStern;Park Shopping São Caetano Alameda Terracota, 545 Nível Térreo - Loja 1070 - Espaço - Cerâmica, São Caetano do Sul - SP, 09531-190, Brasil;-46.5801609;-23.6256583;CLOSED_PERMANENTLY;4.7;42
HStern;SDN - Brasília, DF, 71503-504, Brasil;-47.88297139999999;-15.790756;CLOSED_PERMANENTLY;-;-
HStern;Avenida Luiz Eduardo Toledo Prado, Nº 900 - Loja 2051 - Piso Superior - Shopping Iguatemi de - Vila do Golfe, Ribeirão Preto - SP, 14027-250, Brasil;-47.8351047;-21.2254654;CLOSED_PERMANENTLY;4.9;9
HStern;Shopping Ribeirão - Av. Cel. Fernando Ferreira Leite, 1540 - 280 - Jardim California, Ribeirão Preto - SP, 14026-900, Brasil;-47.8147369;-21.2124294;CLOSED_PERMANENTLY;4.7;10
HStern;Rua Garcia d'Avila, 113 - 8º andar - parte, Rio de Janeiro - RJ, 22421-010, Brasil;-43.209416;-22.9835376;OPERATIONAL;4.6;209
HStern;Shin Ca 4 Ca 5, 4 - Lojas 121 / 122 - Lago Norte, Brasília - DF, 71503-504, Brasil;-47.8859947;-15.7207903;OPERATIONAL;4.7;67
HStern;Via N2, 108 - Brasília, DF, 70077-900, Brasil;-47.8831321;-15.7912954;CLOSED_PERMANENTLY;3.7;6
HStern;Av. Ibirapuera, 3103 - Indianópolis, São Paulo - SP, 04029-902, Brasil;-46.66663919999999;-23.6107329;OPERATIONAL;4.7;42
HStern;Rua Professor Pedro Viriato Parigot de Souza 600 Lojas 269 E 270 - R. Prof. Pedro Viriato Parigot de Souza, 600 - Lojas 269 E 270 - Mossunguê, Curitiba - PR, 81200-100, Brasil;-49.31605049999999;-25.4352367;OPERATIONAL;4.6;51
HStern;Av. Washington Luís, s/n - Vila Congonhas, São Paulo - SP, 04626-911, Brasil;-46.6604097;-23.6253834;OPERATIONAL;4.4;9
