NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
Vivara;Rio Design Shopping - Av. das Américas, 7777 - 116a - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil;-43.3859412;-23.0012397;OPERATIONAL;4.1;17
Vivara;Estrada de Jacarepaguá, 6069, Loja 235A, Piso 1 - Anil, Rio de Janeiro - RJ, 22753-033, Brasil;-43.3371937;-22.9559629;OPERATIONAL;1;1
Vivara;Botafogo Praia Shopping Av. Praia de Botafogo, 400 - Loja 129 / 130 - Praia de Botafogo, 400 - 129 / 130 - Botafogo, Rio de Janeiro - RJ, 22250-040, Brasil;-43.1831289;-22.9473682;OPERATIONAL;4.4;149
Vivara;Av. Lauro Sodré, 445 - 301 - Botafogo, Rio de Janeiro - RJ, 60176-065, Brasil;-43.176668;-22.9571721;OPERATIONAL;4.4;145
Vivara;Av. Gisele Constantino, 1870 - Loja 125 / 126 - Parque Bela Vista, Sorocaba - SP, 18110-650, Brasil;-47.4622552;-23.5333337;OPERATIONAL;4.5;565
Vivara;Shopping União de Osasco - Av. dos Autonomistas, 1828 - Continental, Osasco - SP, 16000-000, Brasil;-46.7712198;-23.5359215;OPERATIONAL;2;1
Vivara;Avenida 9 de Julho, S/N Loja 146 e 147 Térreo Jardim - Bela Vista, Jundiaí - SP, 13208-056, Brasil;-46.8902323;-23.1995149;OPERATIONAL;4.3;299
Vivara;Av. Roque Petroni Júnior, 52 / 53 - Jardim das Acacias, São Paulo - SP, 04707-000, Brasil;-46.69891989999999;-23.62385489999999;OPERATIONAL;4.4;355
Vivara;Av. Limeira, 722 - Areião, Piracicaba - SP, 13414-900, Brasil;-47.6494864;-22.7042451;OPERATIONAL;4.4;225
Vivara;Av. Gov. Flávio Ribeiro Coutinho, 805 - Manaíra, João Pessoa - PB, 58037-900, Brasil;-34.8449781;-7.0988377;OPERATIONAL;4.6;179
Vivara;Av. Pastor Martin Luther King Júnior, 126 - Del Castilho, Rio de Janeiro - RJ, 20765-000, Brasil;-43.2718981;-22.87824479999999;OPERATIONAL;4.6;233
Vivara;Shopping São José - Rua Dona Izabel A Redentora, 1434 - Shop 247 - Centro, São José dos Pinhais - PR, 83005-010, Brasil;-49.20455;-25.5379086;OPERATIONAL;4.7;170
Vivara;Catarina Fashion Outlet - R. Rafael Dias Costa, 140 - São Roque, SP, 18132-852, Brasil;-47.1630157;-23.4200505;OPERATIONAL;4.3;16
Vivara;Estr. Joaquim Bueno Neto, 9999 - ???????? Itupeva - SP, 13295-000, Brasil;-47.0080738;-23.1083751;OPERATIONAL;4.4;403
Vivara;Distrito Industrial, São José - SC, 88104-800, Brasil;-48.6463113;-27.61447849999999;OPERATIONAL;3.8;30
Vivara;R. Treze de Maio, 1947 - Bela Vista, São Paulo - SP, 01327-001, Brasil;-46.64372909999999;-23.5704143;OPERATIONAL;4.3;262
Vivara;R. Cap. Pacheco e Chaves, 313 - Vila Prudente, São Paulo - SP, 03126-000, Brasil;-46.594038;-23.5802493;OPERATIONAL;4.5;387
Vivara;Av. Guido Aliberti, 2.397 - Loja 1065 - Santo Antônio, São Caetano do Sul - SP, 09531-190, Brasil;-46.5811007;-23.6290292;OPERATIONAL;4.3;281
Vivara;Av. Olívia Flores, 2500 - Loja 1091/1092 - Candeias, Vitória da Conquista - BA, 45028-100, Brasil;-40.81795229999999;-14.8772199;OPERATIONAL;4;4
Vivara;Av. Charles Schneider, 1.700 - Vila Costa, Taubaté - SP, 12040-900, Brasil;-45.58144339999999;-23.0247747;OPERATIONAL;4.7;56
Vivara;R. República do Iraque, 410 - Jardim Oswaldo Cruz, São José dos Campos - SP, 12216-540, Brasil;-45.8815622;-23.2017919;OPERATIONAL;-;-
Vivara;Av. Cônsul Assaf Trad, 4796 - loja 166 e 167 - Coronel Antônio, Campo Grande - MS, 79013-545, Brasil;-54.5586606;-20.3975537;OPERATIONAL;4.6;64
Vivara;Praça Samuel Sabatini, 200 - Centro, São Bernardo do Campo - SP, 09750-902, Brasil;-46.5508713;-23.6927223;OPERATIONAL;4.4;137
Vivara;Shopping Metrô Itaquera Rua Jurici Estrada da Pedreira, S/N, Loja 290/291 - Vila Campanela, São Paulo - SP, 08220-900, Brasil;-46.46890210000001;-23.5400856;OPERATIONAL;4.3;55
Vivara;Av. Bartolomeu de Carlos, 230 - Jardim Flor da Montanha, Guarulhos - SP, 07097-420, Brasil;-46.5396007;-23.4434509;OPERATIONAL;4.5;176
Vivara;Av. Brg. Faria Lima, 2232 - Pinheiros, São Paulo - SP, 01451-000, Brasil;-46.6887474;-23.5769625;OPERATIONAL;4.1;56
Vivara;Av. do Contorno, 6061 - Loja: 272 E 273 Piso L2 - São Pedro, Belo Horizonte - MG, 30110-929, Brasil;-43.9339619;-19.9412476;OPERATIONAL;-;-
Vivara;Av. Pres. Kennedy, 4121 - 3087 - Portão, Curitiba - PR, 80610-905, Brasil;-49.2909558;-25.477753;OPERATIONAL;4.4;307
Vivara;Av. Cândido de Abreu, 127 - Loja 78 - Centro, Curitiba - PR, 80530-060, Brasil;-49.2704876;-25.4236916;OPERATIONAL;4.4;598
Vivara;Av. do Batel, 1868 - 350 - Shop 350 - Batel, Curitiba - PR, 80420-090, Brasil;-49.29108219999999;-25.4430624;OPERATIONAL;4.6;136
Vivara;Rua Brigadeiro Franco, 2300 Condomínio Shopping Curitiba CD, Bloco Complexo, Andar 01 318 - Centro, Curitiba - PR, 80250-030, Brasil;-49.2774894;-25.4409909;OPERATIONAL;4.4;12
Vivara;R. Comendador Araújo, 731 - Lojas 248 e 249 - Batel, Curitiba - PR, 80420-000, Brasil;-49.28125010000001;-25.439018;OPERATIONAL;4.5;37
Vivara;R. Konrad Adenauer, 370 - Tarumã, Curitiba - PR, 82821-020, Brasil;-49.2145731;-25.4290342;OPERATIONAL;3.5;26
Vivara;R. Prof. Pedro Viriato Parigot de Souza, 600 - LUC S278 / 279 - Mossunguê, Curitiba - PR, 81200-100, Brasil;-49.31661889999999;-25.4355594;OPERATIONAL;4.5;173
Vivara;Av. Theodoro Victorelli, 150L - 260 - Carlota, Londrina - PR, 86027-750, Brasil;-51.1457281;-23.3123184;OPERATIONAL;4.6;273
Vivara;Rod. Celso Garcia Cid, 5600 - Gleba Fazenda Palhano, Londrina - PR, 86050-901, Brasil;-51.1854006;-23.3419394;OPERATIONAL;4.3;200
Vivara;Catuaí Shopping - Av. Colombo, 9357 - Loja 215 - Jardim Montreal, Maringá - PR, 87065-005, Brasil;-51.9704343;-23.4203891;OPERATIONAL;4.4;206
Vivara;Av. São Paulo - Zona 7, Maringá - PR, 87030-040, Brasil;-51.9327365;-23.4224264;OPERATIONAL;3.4;5
Vivara;Av. São Paulo Shopping Avenida Center - Quiosque L e R - Av. Maringá, 743 - Centro, Sarandi - PR, 87030-040, Brasil;-51.8786715;-23.4410731;OPERATIONAL;5;6
Vivara;R. Ermelino de Leão, 703 - Olarias, Ponta Grossa - PR, Brasil;-50.15230690000001;-25.094832;OPERATIONAL;-;-
Vivara;Av. Toledo, 432 - Loja 251/252 - Centro, Cascavel - PR, 85810-230, Brasil;-53.47672499999999;-24.9506362;OPERATIONAL;3.3;28
Vivara;Cataratas JL Shopping - Av. Costa e Silva, 185 - 242-244 - Vila Cr 1, Foz do Iguaçu - PR, 85863-000, Brasil;-54.57473659999999;-25.5328405;OPERATIONAL;4.9;27
Vivara;Catuaí Palladium - Av. das Cataratas, 3570 - Vila Yolanda, Foz do Iguaçu - PR, 85853-000, Brasil;-54.55853250000001;-25.5691424;OPERATIONAL;4.4;35
Vivara;R. Visc. de Taunay, 235 - 145 - Centro, Joinville - SC, 89201-908, Brasil;-48.8492557;-26.3042307;OPERATIONAL;4.5;150
Vivara;Av. Paulista, 1230 - Bela Vista, São Paulo - SP, 01310-100, Brasil;-46.6526673;-23.5637022;OPERATIONAL;4.4;215
Vivara;Av. das Nações Unidas, 22540 - Vila Almeida, São Paulo - SP, 04795-000, Brasil;-46.700148;-23.678191;OPERATIONAL;4.6;319
Vivara;Av. Ibirapuera, 3103 - Ibirapuera, São Paulo - SP, 04029-200, Brasil;-46.6659249;-23.6104466;OPERATIONAL;4.4;539
Vivara;Av. Chucri Zaidan, 902 - Brooklin, São Paulo - SP, 04583-110, Brasil;-46.70004539999999;-23.6210583;OPERATIONAL;4.3;73
Vivara;Av. Higienópolis, 618 - Higienópolis, São Paulo - SP, 01238-000, Brasil;-46.65738340000001;-23.5420368;OPERATIONAL;4.5;286
Vivara;Av. Paulista, 2064 - Bela Vista, São Paulo - SP, 01310-928, Brasil;-46.659052;-23.5577575;OPERATIONAL;4.2;85
Vivara;R. Turiassu, 2100 - Perdizes, São Paulo - SP, 05005-900, Brasil;-46.6817958;-23.52695779999999;OPERATIONAL;4.4;184
Vivara;Av. Pres. Juscelino Kubitschek, 2041 - Vila Nova Conceição, São Paulo - SP, 04543-000, Brasil;-46.6896064;-23.5917085;OPERATIONAL;4.1;93
Vivara;R. Bela Cintra, 2141 - Cerqueira César, São Paulo - SP, 01415-002, Brasil;-46.6689533;-23.5632974;OPERATIONAL;4.1;102
Vivara;R. Domingos de Morais, 2564 - Loja L24 - Vila Mariana, São Paulo - SP, 04036-100, Brasil;-46.6372457;-23.5994414;OPERATIONAL;4.4;141
