NOME;ENDERE�O;LONGITUDE;LATITUDE;STATUS DO NEG�CIO;AVALIA��ES;TOTAL DE AVALIA��ES
Pandora;Av. Dep. Cant�dio Sampaio, 3735;-46.594365;-23.579747;Fechado;;#VALOR!
Pandora;Shopping An�lia Franco;-46.696490;-23.454369;Aberto;1;1
Pandora;Alameda Terracota, 545 - loja 1012 - 1079;-46.560204;-23.561165;? Fecha �s 20:00;4,3;116
Pandora;Av. dos Autonomistas, 1823;-46.579726;-23.626480;Aberto;3;2
Pandora;Av. Piracema, 660 - Loja 434;-46.771151;-23.535525;Aberto;4,4;31
Pandora;Av. Pereira Barreto, 42 - Loja 215;-46.834249;-23.504353;Fechado;4,3;90
Pandora;Al. Rio Negro, 111 - Loja 242;-46.533563;-23.667796;Aberto;4,7;27
Pandora;Av. Industrial, 600;-46.8484465;-23.5045434;Aberto;3;2
Pandora;Avenida Rotary, 624 Ferraz�polis Piso L1;-46.533864;-23.646778;Aberto;;#VALOR!
Pandora;Av. Roque Petroni J�nior, 1089 - Loja 54;-46.543195;-23.723221;Aberto;4,1;92
Pandora;Rod. dos Bandeirantes, Km 72;-45.886655;-22.237086;Fechado;4,2;32
Pandora;Outlet Catarina Rua Rafael Dias Costa, 140 Quiosq G 11;-47.008861;-23.107946;Aberto;4,6;33
Pandora;Av. 9 de Julho, 3333 - Loja 104;-47.163098;-23.420315;Aberto;4,4;118
Pandora;R. Alexandre Martins, 80 - Loja 255;-46.889651;-23.199676;Aberto;4,4;85
Pandora;1199 Avenida Doutor Ermelindo Maffei Quiosque A-08;-46.310165;-23.976581;Aberto;5;4
Pandora;Rod. Dom Pedro I, 131.5 - Store 133A;-47.280476;-23.263891;Aberto;4,8;37
