;11/12/2022;09/01/2023
BTG Pactual;4;4
XP Inc.;4,1;4,1
Banco PAN;4,5;4,5
Inter;4,3;4,1
C6 Bank;4,4;4,4
Nubank;4,4;4,4
Itau Unibanco (Itau BBA e Rede);4,5;4,5
Bradesco;4,2;4,2
Santander;3,9;3,9
Banco do Brasil;4,2;4,2
Banco BMG;4,2;4,2
Wiz Solucoes;0;4,4
