Code;Data;Empresa;Membro;Ativo;Qnt. Inicial;Qnt. Final;Saldo
8672;jul/22;IGUATEMI S.A.;Controlador;Ações;487.151.370;487.151.370;0
19623;jul/22;DIAGNOSTICOS DA AMERICA S.A.;Controlador;Ações;477.241.593;477.241.593;0
26328;jul/22;Monte Rodovias S.A.;Controlador;Ações;472.264.376;472.264.376;0
21091;jul/22;ITAÚSA S.A.;Controlador;Ações;466.765.509;466.765.509;0
17850;jul/22;RUMO MALHA OESTE S.A.;Controlador;Ações;459.057.998;459.057.998;0
26522;jul/22;CERRADINHO BIOENERGIA S.A.;Controlador;Ações;458.277.125;458.277.125;0
16659;jul/22;PORTO SEGURO S.A.;Controlador;Ações;457.883.780;457.883.780;0
21490;jul/22;ALUPAR INVESTIMENTO S/A;Controlador;Ações;456.905.633;456.905.633;0
21091;jul/22;DEXCO S.A.;Controlador;Ações;456.577.762;456.577.762;0
22225;jul/22;TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A;Direto;Ações;428.071.225;428.071.225;0
4669;jul/22;GUARARAPES CONFECCOES S.A.;Conselho Administração;Ações;417.185.180;417.185.180;0
26913;jul/22;Conasa Infraestrutura S.A. (Não Concedido);Controlador;Ações;407.000.000;407.000.000;0
25984;jul/22;COMPANHIA BRASILEIRA DE ALUMÍNIO;Controlador;Ações;404.483.333;404.483.333;0
25810;jul/22;Athena Saúde Brasil SA;Controlador;Ações;400.699.134;400.699.134;0
20605;jul/22;JHSF PARTICIPACOES S.A.;Controlador;Ações;376.144.161;376.144.161;0
2453;jul/22;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Controlador;Ações;375.031.302;375.031.302;0
20257;jul/22;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Controlador;Ações;372.145.795;372.145.795;0
25950;jul/22;Três Tentos Agroindustrial S/A;Controlador;Ações;371.760.888;371.760.888;0
19453;jul/22;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Controlador;Ações;361.213.610;361.213.610;0
19186;jul/22;SANEAMENTO DE GOIAS SA;Controlador;Ações;354.992.364;354.992.364;0
26085;jul/22;BRISANET PARTICIPAÇÕES S.A.;Controlador;Ações;352.979.521;352.979.521;0
20788;jul/22;MARFRIG GLOBAL FOODS S.A.;Controlador;Ações;350.480.340;350.480.340;0
26760;jul/22;TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.;Conselho Administração;Ações;349.466.100;349.466.100;0
14443;jul/22;CIA SANEAMENTO BASICO EST SAO PAULO;Controlador;Ações;343.506.670;343.506.670;0
26280;jul/22;COMERC PARTICIPAÇÕES S.A.;Controlador;Ações;331.171.230;331.171.230;0
24260;jul/22;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Controlador;Ações;327.437.523;327.437.523;0
19763;jul/22;EDP - ENERGIAS DO BRASIL S.A.;Controlador;Ações;325.725.994;325.725.994;0
21121;jul/22;SUL AMERICA S.A.;Controlador;Ações;321.745.420;321.745.420;0
25755;jul/22;BANCO MODAL S.A.;Controlador;Ações;308.535.499;308.535.499;0
26123;jul/22;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Controlador;Ações;307.368.122;307.368.122;0
10456;jul/22;ITAÚSA S.A.;Conselho Administração;Ações;305.793.122;305.793.122;0
25526;jul/22;CRUZEIRO DO SUL EDUCACIONAL S.A.;Controlador;Ações;304.067.040;304.067.040;0
10456;jul/22;ALPARGATAS S.A.;Controlador;Ações;294.231.502;294.231.502;0
18589;jul/22;INVESTCO S.A.;Controlador;Ações;293.607.861;293.607.861;0
20125;jul/22;ODONTOPREV S.A.;Controlador;Ações;292.213.236;292.213.236;0
19925;jul/22;BR PROPERTIES S.A.;Controlador;Ações;285.280.815;285.280.815;0
20982;jul/22;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Controlador;Ações;283.989.661;283.989.661;0
25577;jul/22;CELG DISTRIBUICAO S.A. - CELG D;Controlador;Ações;282.965.232;282.965.232;0
20990;jul/22;AMERICANAS S.A.;Controlador;Ações;272.270.896;272.270.896;0
20397;jul/22;CONC ECOVIAS IMIGRANTES S.A.;Controlador;Ações;270.386.120;270.386.120;0
23930;jul/22;BRASILIANA PARTICIPAÇÕES S/A;Controlador;Ações;253.846.155;253.846.155;0
24228;jul/22;CAMIL ALIMENTOS S.A.;Controlador;Ações;249.346.203;249.346.203;0
26247;jul/22;WILSON SONS HOLDINGS BRASIL S.A.;Controlador;Ações;248.664.000;248.664.000;0
3050;jul/22;AMPLA ENERGIA E SERVICOS S.A.;Controlador;Ações;239.730.313;239.730.313;0
26034;jul/22;MULTILASER INDUSTRIAL S.A.;Controlador;Ações;231.053.671;231.053.671;0
18376;jul/22;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Controlador;Ações;230.856.832;230.856.832;0
25640;jul/22;AES BRASIL ENERGIA S.A.;Controlador;Ações;229.851.024;229.851.024;0
21431;jul/22;HYPERA S.A.;Controlador;Ações;229.548.292;229.548.292;0
26603;jul/22;GSH CORP Participações S.A.;Controlador;Ações;229.371.078;229.371.078;0
4820;jul/22;BRASKEM S.A.;Controlador;Ações;226.334.623;226.334.623;0
25690;jul/22;HOSPITAL MATER DEI S.A.;Controlador;Ações;219.287.242;219.287.242;0
22594;jul/22;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Controlador;Ações;218.370.694;218.370.694;0
26271;jul/22;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Controlador;Ações;216.000.000;216.000.000;0
20338;jul/22;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Controlador;Ações;214.650.000;214.650.000;0
18775;jul/22;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Controlador;Ações;212.174.502;212.174.502;0
22608;jul/22;EMPREENDIMENTOS PAGUE MENOS S.A.;Controlador;Ações;209.303.956;209.303.956;0
26379;jul/22;MADERO INDÚSTRIA E COMÉRCIO S.A.;Controlador;Ações;207.697.051;207.697.051;0
25232;jul/22;MÉLIUZ S.A.;Controlador;Ações;206.960.998;206.960.998;0
24600;jul/22;BANCO BMG S/A;Controlador;Ações;206.033.609;206.033.609;0
22020;jul/22;JSL S.A.;Controlador;Ações;206.032.081;206.032.081;0
12653;jul/22;KLABIN S.A.;Conselho Administração;Ações;202.021.871;202.021.871;0
24848;jul/22;C&A Modas S.A.;Controlador;Ações;201.319.336;201.319.336;0
1210;jul/22;BCO ESTADO DO RIO GRANDE DO SUL S.A.;Controlador;Ações;201.225.359;201.225.359;0
14176;jul/22;ELETROPAULO METROP. ELET. SAO PAULO S.A.;Controlador;Ações;197.466.862;197.466.862;0
19445;jul/22;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;Controlador;Ações;190.272.939;190.272.939;0
26077;jul/22;TC TRADERS CLUB S.A.;Controlador;Ações;190.081.060;190.081.060;0
25100;jul/22;Cury Construtora S/A;Controlador;Ações;187.428.234;187.428.234;0
22055;jul/22;MARISA LOJAS S.A.;Controlador;Ações;187.024.379;187.024.379;0
18589;jul/22;INVESTCO S.A.;Controlador;Ações;186.558.673;186.558.673;0
22365;jul/22;ENAUTA PARTICIPAÇÕES S.A.;Controlador;Ações;186.065.879;186.065.879;0
8451;jul/22;MARCOPOLO S.A.;Controlador;Ações;174.213.920;174.213.920;0
11762;jul/22;VULCABRAS S.A.;Controlador;Ações;171.989.853;171.989.853;0
25682;jul/22;CM Hospitalar S.A;Controlador;Ações;166.326.143;166.326.143;0
24481;jul/22;Equatorial Transmissora 8 SPE S.A.;Controlador;Ações;164.628.205;164.628.205;0
24910;jul/22;LOCAWEB SERVIÇOS DE INTERNET S.A.;Controlador;Ações;161.186.952;161.186.952;0
24171;jul/22;ATACADÃO S.A.;Conselho Administração;Ações;152.070.854;152.070.854;0
14524;jul/22;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Controlador;Ações;149.544.434;149.544.434;0
24627;jul/22;Blau Farmacêutica S.A.;Controlador;Ações;147.999.999;147.999.999;0
24139;jul/22;CONCESSIONÁRIA PONTE RIO-NITERÓI S.A. - ECOPONTE;Controlador;Ações;147.367.960;147.367.960;0
26506;jul/22;LUPO S.A.;Controlador;Ações;147.056.388;147.056.388;0
2429;jul/22;IRANI PAPEL E EMBALAGEM S.A.;Controlador;Ações;146.653.247;146.653.247;0
26522;jul/22;CERRADINHO BIOENERGIA S.A.;Conselho Administração;Ações;146.327.886;146.327.886;0
24694;jul/22;Grupo SBF S.A.;Controlador;Ações;145.571.274;145.571.274;0
25860;jul/22;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;Controlador;Ações;143.325.720;143.325.720;0
12190;jul/22;BOMBRIL S.A.;Controlador;Ações;137.615.317;137.615.317;0
24805;jul/22;Vivara Participações S.A.;Controlador;Ações;136.775.433;136.775.433;0
20931;jul/22;MINERVA S.A.;Controlador;Ações;135.801.295;135.801.295;0
22594;jul/22;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Controlador;Ações;134.453.234;134.453.234;0
25119;jul/22;Melnick Desenvolvimento Imobiliário S.A.;Controlador;Ações;133.967.241;133.967.241;0
26395;jul/22;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;Controlador;Ações;130.000.000;130.000.000;0
22357;jul/22;Aliansce Sonae Shopping Centers S.A.;Controlador;Ações;129.756.361;129.756.361;0
25089;jul/22;Pet Center Comércio e Participações S.A.;Conselho Administração;Ações;123.749.104;123.749.104;0
24953;jul/22;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;Controlador;Ações;123.569.491;123.569.491;0
24600;jul/22;BANCO BMG S/A;Conselho Administração;Ações;122.967.968;122.967.968;0
25399;jul/22;NEOGRID PARTICIPAÇÕES S.A.;Controlador;Ações;121.568.336;121.568.336;0
25062;jul/22;Lavvi Empreendimentos Imobiliários S.A.;Controlador;Ações;121.489.223;121.489.223;0
906;jul/22;BCO BRADESCO S.A.;Controlador;Ações;121.067.103;121.067.103;0
18139;jul/22;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Controlador;Ações;120.847.284;120.847.284;0
26417;jul/22;OLIVEIRA TRUST S.A.;Controlador;Ações;118.607.670;118.607.670;0
20958;jul/22;BCO ABC BRASIL S.A.;Controlador;Ações;113.445.235;113.445.235;0
14460;jul/22;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Controlador;Ações;110.565.988;110.565.988;0
14826;jul/22;CIA BRASILEIRA DE DISTRIBUICAO;Controlador;Ações;110.476.572;110.476.572;0
25224;jul/22;2W Energia S.A.;Controlador;Ações;109.858.085;109.858.085;0
25143;jul/22;PACAEMBU CONSTRUTORA S.A.;Conselho Administração;Ações;109.560.618;109.560.618;0
24473;jul/22;JHSF MALLS S.A.;Controlador;Ações;107.879.979;107.879.979;0
18724;jul/22;BRADESPAR S.A.;Controlador;Ações;107.442.571;107.442.571;0
18775;jul/22;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Controlador;Ações;107.292.843;107.292.843;0
26336;jul/22;FULWOOD S.A.;Conselho Administração;Ações;107.010.000;107.010.000;0
25003;jul/22;SIMPAR S.A.;Controlador;Ações;105.705.328;105.705.328;0
23620;jul/22;CBO HOLDING S.A.;Controlador;Ações;104.687.662;104.687.662;0
17485;jul/22;ELEKTRO REDES S.A.;Controlador;Ações;101.279.596;101.279.596;0
23817;jul/22;BRQ SOLUCOES EM INFORMATICA S.A.;Controlador;Ações;98.801.226;98.801.226;0
19330;jul/22;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Controlador;Ações;98.729.848;98.729.848;0
20567;jul/22;BCO PINE S.A;Controlador;Ações;97.895.475;97.895.475;0
14664;jul/22;SCHULZ S.A.;Controlador;Ações;96.104.052;96.104.052;0
6211;jul/22;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Controlador;Ações;95.206.561;95.206.561;0
14109;jul/22;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Controlador;Ações;95.206.561;95.206.561;0
7811;jul/22;JOAO FORTES ENGENHARIA S.A. - Em Recuperação Judicial;Controlador;Ações;95.119.963;95.119.963;0
17485;jul/22;ELEKTRO REDES S.A.;Controlador;Ações;91.855.825;91.855.825;0
25658;jul/22;Agrogalaxy Participações S.A.;Controlador;Ações;91.380.974;91.380.974;0
8575;jul/22;MAHLE-METAL LEVE S.A.;Controlador;Ações;89.815.982;89.815.982;0
25763;jul/22;VITTIA FERTILIZANTES E BIOLÓGICOS S.A.;Controlador;Ações;86.864.711;86.864.711;0
19992;jul/22;TOTVS S.A.;Conselho Administração;Ações;86.396.505;86.396.505;0
24279;jul/22;INTER CONSTRUTORA E INCORPORADORA S.A.;Controlador;Ações;86.021.508;86.021.508;0
25445;jul/22;MPM Corpóreos S.A.;Controlador;Ações;85.732.801;85.732.801;0
25933;jul/22;Humberg Agribrasil Comércio e Exportação de Grãos S.A.;Controlador;Ações;85.659.200;85.659.200;0
24090;jul/22;INSTITUTO HERMES PARDINI S.A.;Controlador;Ações;84.839.899;84.839.899;0
26689;jul/22;HOLDING VERZANI E SANDRINI S.A.;Conselho Administração;Ações;84.606.720;84.606.720;0
23590;jul/22;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;Controlador;Ações;84.552.713;84.552.713;0
25755;jul/22;BANCO MODAL S.A.;Controlador;Ações;83.573.000;83.573.000;0
14524;jul/22;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Controlador;Ações;82.878.409;82.878.409;0
14451;jul/22;CIA ENERGETICA DE BRASILIA;Controlador;Ações;80.356.908;80.356.908;0
21180;jul/22;Nexpe Participações S.A;Controlador;Ações;80.260.925;80.260.925;0
25062;jul/22;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Conselho Administração;Ações;79.734.281;79.734.281;0
4820;jul/22;BRASKEM S.A.;Controlador;Ações;79.182.498;79.182.498;0
25569;jul/22;ELETROMIDIA S.A.;Controlador;Ações;77.441.980;77.441.980;0
23000;jul/22;LIGHT ENERGIA S.A.;Controlador;Ações;77.421.581;77.421.581;0
25402;jul/22;HBR Realty Empreendimentos Imobiliários S.A.;Controlador;Ações;77.391.735;77.391.735;0
6343;jul/22;TUPY S.A.;Controlador;Ações;76.459.524;76.459.524;0
23221;jul/22;SER EDUCACIONAL S.A.;Controlador;Ações;75.484.985;75.484.985;0
20710;jul/22;LOG-IN LOGISTICA INTERMODAL S.A.;Controlador;Ações;75.320.695;75.320.695;0
23175;jul/22;IGUA SANEAMENTO S.A.;Controlador;Ações;75.110.133;75.110.133;0
24058;jul/22;CENTRO DE IMAGEM DIAGNOSTICOS S.A.;Controlador;Ações;74.860.113;74.860.113;0
19720;jul/22;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Conselho Administração;Ações;74.717.922;74.717.922;0
26816;jul/22;Qestra Tecnologia Administração E Participações S.A.;Conselho Administração;Ações;74.087.000;74.087.000;0
24015;jul/22;BRADESPAR S.A.;Controlador;Ações;73.119.586;73.119.586;0
15300;jul/22;RUMO MALHA NORTE S.A.;Controlador;Ações;71.848.393;71.848.393;0
14605;jul/22;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Controlador;Ações;71.591.063;71.591.063;0
25704;jul/22;BOA SAFRA SEMENTES S.A.;Controlador;Ações;70.675.680;70.675.680;0
26409;jul/22;Vero S.A.;Controlador;Ações;69.727.493;69.727.493;0
24961;jul/22;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Controlador;Ações;69.081.829;69.081.829;0
25747;jul/22;INFRACOMMERCE CXAAS S.A.;Conselho Administração;Ações;66.413.572;66.413.572;0
21350;jul/22;DIRECIONAL ENGENHARIA S.A.;Controlador;Ações;66.188.421;66.188.421;0
14362;jul/22;CIA ENERGETICA DE PERNAMBUCO - CELPE;Controlador;Ações;66.022.550;66.022.550;0
22608;jul/22;EMPREENDIMENTOS PAGUE MENOS S.A.;Conselho Administração;Ações;64.866.131;64.866.131;0
23825;jul/22;SIMPAR S.A.;Controlador;Ações;64.060.550;64.060.550;0
24589;jul/22;Energisa Transmissão de Energia S/A;Controlador;Ações;63.304.245;63.304.245;0
22179;jul/22;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Controlador;Ações;62.222.413;62.222.413;0
20877;jul/22;HELBOR EMPREENDIMENTOS S.A.;Controlador;Ações;61.509.533;61.509.533;0
13986;jul/22;SUZANO HOLDING S.A.;Controlador;Ações;61.434.207;61.434.207;0
24716;jul/22;SIMPAR S.A.;Conselho Administração;Ações;61.176.386;61.176.386;0
25330;jul/22;ALLIED TECNOLOGIA S.A.;Controlador;Ações;60.946.844;60.946.844;0
26557;jul/22;Datora Participações e Serviços S.A.;Controlador;Ações;60.277.574;60.277.574;0
22012;jul/22;MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.;Controlador;Ações;60.233.272;60.233.272;0
12653;jul/22;KLABIN S.A.;Conselho Administração;Ações;59.616.742;59.616.742;0
26417;jul/22;OLIVEIRA TRUST S.A.;Controlador;Ações;59.303.835;59.303.835;0
21040;jul/22;SYN PROP & TECH S.A.;Controlador;Ações;58.928.234;58.928.234;0
14451;jul/22;CIA ENERGETICA DE BRASILIA;Controlador;Ações;58.388.400;58.388.400;0
25305;jul/22;PATRIMAR ENGENHARIA S.A.;Controlador;Ações;56.025.501;56.025.501;0
13986;jul/22;SUZANO HOLDING S.A.;Controlador;Ações;55.765.850;55.765.850;0
26921;jul/22;SIMPAR S.A.;Conselho Administração;Ações;55.387.042;55.387.042;0
23825;jul/22;SIMPAR S.A.;Conselho Administração;Ações;55.349.014;55.349.014;0
22020;jul/22;SIMPAR S.A.;Conselho Administração;Ações;55.349.010;55.349.010;0
14605;jul/22;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Controlador;Ações;54.701.194;54.701.194;0
25461;jul/22;Mobly S.A.;Controlador;Ações;54.482.042;54.482.042;0
9067;jul/22;SUZANO S.A.;Direto;Ações;53.443.764;53.443.764;0
24902;jul/22;Mitre Realty Empreendimentos e Participações S.A.;Controlador;Ações;52.995.666;52.995.666;0
26387;jul/22;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Controlador;Ações;52.000.000;52.000.000;0
12190;jul/22;BOMBRIL S.A.;Controlador;Ações;51.901.989;51.901.989;0
25909;jul/22;EMCCAMP RESIDENCIAL S.A.;Controlador;Ações;51.018.519;51.018.519;0
24996;jul/22;RIVA INCORPORADORA S.A;Controlador;Ações;50.000.000;50.000.000;0
8672;jul/22;IGUATEMI S.A.;Controlador;Ações;48.715.137;48.715.137;0
14869;jul/22;CIA ENERGETICA DO CEARA - COELCE;Controlador;Ações;47.064.245;47.064.245;0
25895;jul/22;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Controlador;Ações;44.878.134;44.878.134;0
9989;jul/22;REFINARIA DE PETROLEOS MANGUINHOS S.A.;Controlador;Ações;44.008.031;44.008.031;0
906;jul/22;BCO BRADESCO S.A.;Conselho Administração;Ações;41.493.865;41.493.865;0
26603;jul/22;GSH CORP Participações S.A.;Controlador;Ações;41.367.807;41.367.807;0
25976;jul/22;Yuny Incorporadora Holding S.A.;Conselho Administração;Ações;40.728.856;40.728.856;0
8451;jul/22;MARCOPOLO S.A.;Controlador;Ações;40.647.839;40.647.839;0
20036;jul/22;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Controlador;Ações;39.349.530;39.349.530;0
21636;jul/22;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;Controlador;Ações;39.332.581;39.332.581;0
6173;jul/22;TAURUS ARMAS S.A.;Controlador;Ações;38.649.840;38.649.840;0
25550;jul/22;Orizon Valorização de Resíduos S.A.;Controlador;Ações;37.581.871;37.581.871;0
80187;jul/22;AURA MINERALS INC.;Controlador;Ações;37.016.005;37.016.005;0
20702;jul/22;VIVER INCORPORADORA E CONSTRUTORA S.A.;Controlador;Ações;36.765.689;36.765.689;0
22780;jul/22;UNICASA INDÚSTRIA DE MÓVEIS S.A.;Controlador;Ações;36.745.726;36.745.726;0
18589;jul/22;INVESTCO S.A.;Controlador;Ações;35.947.208;35.947.208;0
7510;jul/22;ROMI S.A.;Controlador;Ações;35.707.197;35.707.197;0
20982;jul/22;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Controlador;Ações;35.575.041;35.575.041;0
6211;jul/22;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Controlador;Ações;35.176.276;35.176.276;0
14109;jul/22;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Controlador;Ações;35.073.276;35.073.276;0
20346;jul/22;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;Controlador;Ações;34.657.969;34.657.969;0
16632;jul/22;DEXXOS PARTICIPAÇÕES S.A.;Controlador;Ações;34.476.520;34.476.520;0
10456;jul/22;ALPARGATAS S.A.;Conselho Administração;Ações;34.353.021;34.353.021;0
20800;jul/22;TEGMA GESTAO LOGISTICA S.A.;Controlador;Ações;33.936.292;33.936.292;0
26026;jul/22;DESKTOP S.A.;Controlador;Ações;33.898.992;33.898.992;0
10456;jul/22;ALPARGATAS S.A.;Conselho Administração;Ações;33.879.897;33.879.897;0
22454;jul/22;T4F ENTRETENIMENTO S.A.;Controlador;Ações;33.874.125;33.874.125;0
26760;jul/22;TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.;Direto;Ações;33.533.900;33.533.900;0
22187;jul/22;PETRO RIO S.A.;Conselho Administração;Ações;33.405.390;33.405.390;0
17973;jul/22;COGNA EDUCAÇÃO S.A.;Conselho Administração;Ações;31.679.568;31.679.568;0
13781;jul/22;SAO CARLOS EMPREEND E PARTICIPACOES S.A.;Controlador;Ações;31.615.178;31.615.178;0
25437;jul/22;URBA DESENVOLVIMENTO URBANO S.A.;Conselho Administração;Ações;31.570.129;31.570.129;0
25690;jul/22;HOSPITAL MATER DEI S.A.;Direto;Ações;31.458.602;31.458.602;0
26417;jul/22;OLIVEIRA TRUST S.A.;Conselho Administração;Ações;31.431.310;31.431.310;0
21440;jul/22;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.;Conselho Administração;Ações;31.010.876;31.010.876;0
23507;jul/22;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;Controlador;Ações;30.366.173;30.366.173;0
14664;jul/22;SCHULZ S.A.;Controlador;Ações;30.231.448;30.231.448;0
20524;jul/22;Melnick Desenvolvimento Imobiliário S.A.;Conselho Administração;Ações;29.458.283;29.458.283;0
12653;jul/22;KLABIN S.A.;Controlador;Outros;29.162.575;29.162.575;0
3069;jul/22;CIA FERRO LIGAS DA BAHIA - FERBASA;Controlador;Ações;29.086.696;29.086.696;0
5207;jul/22;DOHLER S.A.;Conselho Administração;Ações;28.236.041;28.236.041;0
9342;jul/22;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;Conselho Administração;Ações;28.134.849;28.134.849;0
20621;jul/22;FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL;Controlador;Ações;27.728.139;27.728.139;0
20338;jul/22;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Direto;Ações;27.592.866;27.592.866;0
24600;jul/22;BANCO BMG S/A;Conselho Administração;Ações;27.337.488;27.337.488;0
20958;jul/22;BCO ABC BRASIL S.A.;Controlador;Ações;27.140.382;27.140.382;0
14524;jul/22;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Controlador;Ações;26.895.780;26.895.780;0
20451;jul/22;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;Controlador;Ações;26.892.875;26.892.875;0
20966;jul/22;SPRINGS GLOBAL PARTICIPACOES S.A.;Controlador;Ações;26.457.710;26.457.710;0
21091;jul/22;ITAÚSA S.A.;Conselho Administração;Ações;26.252.185;26.252.185;0
23612;jul/22;MAESTRO LOCADORA DE VEICULOS S.A.;Controlador;Ações;25.826.085;25.826.085;0
20435;jul/22;TECNISA S.A.;Controlador;Ações;25.767.512;25.767.512;0
7617;jul/22;DEXCO S.A.;Controlador;Ações;24.998.297;24.998.297;0
7617;jul/22;ITAU UNIBANCO HOLDING S.A.;Controlador;Ações;24.310.426;24.310.426;0
13986;jul/22;SUZANO HOLDING S.A.;Controlador;Ações;24.007.667;24.007.667;0
19305;jul/22;BIOMM S.A.;Controlador;Ações;23.244.804;23.244.804;0
23604;jul/22;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Conselho Administração;Ações;21.272.042;21.272.042;0
21636;jul/22;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;Controlador;Ações;21.055.252;21.055.252;0
17973;jul/22;COGNA EDUCAÇÃO S.A.;Órgãos Técnicos ou Consultivos;Ações;19.941.416;19.941.416;0
24821;jul/22;Rede D?Or São Luiz S.A.;Conselho Administração;Ações;19.747.305;19.747.305;0
25143;jul/22;PACAEMBU CONSTRUTORA S.A.;Direto;Ações;19.498.227;19.498.227;0
17850;jul/22;RUMO MALHA OESTE S.A.;Controlador;Ações;19.402.076;19.402.076;0
18139;jul/22;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Controlador;Ações;19.098.302;19.098.302;0
26026;jul/22;DESKTOP S.A.;Conselho Administração;Ações;19.010.776;19.010.776;0
19100;jul/22;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Controlador;Ações;18.972.963;18.972.963;0
23574;jul/22;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;Conselho Administração;Ações;18.860.898;18.860.898;0
23965;jul/22;CINESYSTEM S.A.;Controlador;Ações;18.669.063;18.669.063;0
5770;jul/22;EUCATEX S.A. INDUSTRIA E COMERCIO;Controlador;Ações;18.167.182;18.167.182;0
11592;jul/22;UNIPAR CARBOCLORO S.A.;Controlador;Ações;18.154.691;18.154.691;0
26417;jul/22;OLIVEIRA TRUST S.A.;Direto;Ações;18.019.346;18.019.346;0
906;jul/22;BCO BRADESCO S.A.;Conselho Administração;Ações;17.869.096;17.869.096;0
25275;jul/22;ALPHAVILLE S.A.;Controlador;Ações;17.657.662;17.657.662;0
26093;jul/22;CLEAR SALE S.A.;Direto;Ações;16.656.559;16.656.559;0
15423;jul/22;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Controlador;Ações;16.560.840;16.560.840;0
25160;jul/22;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Controlador;Ações;16.497.087;16.497.087;0
18139;jul/22;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Controlador;Ações;16.444.928;16.444.928;0
9954;jul/22;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;Controlador;Ações;15.846.980;15.846.980;0
3891;jul/22;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;Controlador;Ações;15.846.980;15.846.980;0
4707;jul/22;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;Controlador;Ações;15.846.980;15.846.980;0
17450;jul/22;RUMO S.A.;Controlador;Outros;15.781.000;15.781.000;0
26417;jul/22;OLIVEIRA TRUST S.A.;Conselho Administração;Ações;15.715.655;15.715.655;0
9539;jul/22;PETTENATI S.A. INDUSTRIA TEXTIL;Órgãos Técnicos ou Consultivos;Ações;15.631.712;15.631.712;0
11070;jul/22;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;Controlador;Ações;15.589.625;15.589.625;0
21199;jul/22;BCO PAN S.A.;Controlador;MOSAICO;15.507.656;15.507.656;0
16993;jul/22;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Controlador;Ações;14.704.273;14.704.273;0
