Code;Data;Empresa;Membro;Ativo;Qnt. Inicial;Qnt. Final;Saldo
25917;jul/22;RAÍZEN S.A.;Conselho Administração;Ações;6.497.200;6.587.200;90.000
19836;jul/22;RAÍZEN S.A.;Controlador;Ações;6.497.200;6.587.200;90.000
10456;jul/22;ALPARGATAS S.A.;Direto;Ações;1.242.635;1.327.566;84.931
21610;jul/22;B3 S.A. - BRASIL, BOLSA, BALCÃO;Direto;Ações;8.336.233;8.419.924;83.691
21148;jul/22;CONSTRUTORA TENDA S.A.;Conselho Administração;Ações;823.340;900.862;77.522
16292;jul/22;BRF S.A.;Direto;Ações;881.391;957.116;75.725
22020;jul/22;SIMPAR S.A.;Direto;Ações;437.975;513.555;75.580
11592;jul/22;UNIPAR CARBOCLORO S.A.;Conselho Administração;Ações;15.918.621;15.991.514;72.893
24392;jul/22;Hapvida Participações e Investimentos S.A.;Conselho Administração;Ações;91.809.525;91.879.525;70.000
20605;jul/22;JHSF PARTICIPACOES S.A.;Conselho Administração;Ações;2.226.715;2.289.215;62.500
19623;jul/22;DIAGNOSTICOS DA AMERICA S.A.;Direto;Ações;2.597.735;2.660.030;62.295
9342;jul/22;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;Direto;Ações;274.745;331.862;57.117
25496;jul/22;Jalles Machado S.A.;Conselho Administração;Ações;11.084.029;11.137.282;53.253
25399;jul/22;NEOGRID PARTICIPAÇÕES S.A.;Conselho Administração;Ações;4.530.190;4.582.790;52.600
12653;jul/22;KLABIN S.A.;Direto;Ações;1.511.939;1.564.139;52.200
20338;jul/22;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Controlador;Ações;10.284.941;10.334.741;49.800
21938;jul/22;ENERGISA S.A.;Conselho Administração;Units;1.031.780;1.081.380;49.600
18996;jul/22;ENERGISA S.A.;Conselho Administração;Units;1.031.780;1.081.380;49.600
3271;jul/22;ENERGISA S.A.;Conselho Administração;Units;1.031.780;1.081.380;49.600
3190;jul/22;ENERGISA S.A.;Conselho Administração;Units;1.031.780;1.081.380;49.600
14605;jul/22;ENERGISA S.A.;Conselho Administração;Units;788.475;838.075;49.600
24864;jul/22;ENERGISA S.A.;Conselho Administração;Units;788.475;838.075;49.600
5576;jul/22;ENERGISA S.A.;Conselho Administração;Units;788.475;838.075;49.600
24589;jul/22;ENERGISA S.A.;Conselho Administração;Units;788.475;838.075;49.600
15253;jul/22;ENERGISA S.A.;Conselho Administração;Units;451.320;500.920;49.600
11592;jul/22;UNIPAR CARBOCLORO S.A.;Controlador;Ações;0;47.598;47.598
24180;jul/22;IRB - BRASIL RESSEGUROS S.A.;Órgãos Técnicos ou Consultivos;Ações;0;46.800;46.800
20915;jul/22;MRV ENGENHARIA E PARTICIPACOES S.A.;Direto;Ações;2.891.286;2.937.608;46.322
25534;jul/22;Oceanpact Serviços Maritimos S.A.;Conselho Administração;Ações;61.871.862;61.917.912;46.050
20362;jul/22;POSITIVO TECNOLOGIA S.A.;Controlador;Ações;66.250.439;66.294.439;44.000
6173;jul/22;TAURUS ARMAS S.A.;Direto;Ações;545.100;588.100;43.000
21091;jul/22;DEXCO S.A.;Conselho Administração;Ações;40.100;80.200;40.100
20915;jul/22;MRV ENGENHARIA E PARTICIPACOES S.A.;Conselho Administração;Ações;1.051.476;1.091.226;39.750
20524;jul/22;EVEN CONSTRUTORA E INCORPORADORA S.A.;Direto;Ações;3.669.016;3.707.647;38.631
24929;jul/22;TIM S.A.;Conselho Administração;Ações;146.211;183.462;37.251
25518;jul/22;WESTWING COMÉRCIO VAREJISTA S.A.;Direto;Ações;1.489.118;1.526.151;37.033
12653;jul/22;KLABIN S.A.;Controlador;Ações;1.295.455.265;1.295.490.865;35.600
15253;jul/22;ENERGISA S.A.;Controlador;Units;978.475;1.013.475;35.000
20044;jul/22;CSU CARDSYSTEM S.A.;Controlador;Ações;22.628.692;22.661.556;32.864
19569;jul/22;GOL LINHAS AEREAS INTELIGENTES S.A.;Órgãos Técnicos ou Consultivos;Ações;0;29.000;29.000
13773;jul/22;PBG S/A;Controlador;Ações;85.849.136;85.875.736;26.600
23272;jul/22;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Controlador;Ações;10.790.659;10.816.480;25.821
19879;jul/22;LIGHT S.A.;Direto;Ações;294.000;318.100;24.100
4537;jul/22;GRAZZIOTIN S.A.;Controlador;Ações;5.473.975;5.496.775;22.800
80209;jul/22;NU HOLDINGS LTD.;Conselho Administração;Ações;1.283.365;1.306.102;22.737
906;jul/22;BCO BRADESCO S.A.;Conselho Fiscal;Ações;90.725;112.325;21.600
20745;jul/22;SLC AGRICOLA S.A.;Controlador;Ações;111.161.135;111.182.135;21.000
21016;jul/22;YDUQS PARTICIPACOES S.A.;Conselho Administração;Ações;339.976;360.976;21.000
25747;jul/22;INFRACOMMERCE CXAAS S.A.;Conselho Fiscal;Ações;24.600;43.400;18.800
24813;jul/22;LOCALIZA RENT A CAR S.A.;Direto;Ações;34.755;51.678;16.923
